NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT01216787,"RO4929097 in Treating Patients With Stage IIIB, Stage IIIC, or Stage IV Melanoma That Can Be Removed by Surgery",Withdrawn,No Results Available,Drug: gamma-secretase/Notch signalling pathway inhibitor RO4929097|Other: pharmacological study|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01216787
NCT01495572,Melanoma Treatment With White Blood Cells That Destroy MART Expressing Tumor Cells,Terminated,Has Results,Drug: Fludarabine|Drug: Cyclophosphamide|Drug: Aldesleukin|Drug: MART-1 Reactive CD8+ PBL,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01495572
NCT02062359,T Cell Receptor Immunotherapy Targeting NY-ESO-1 for Patients With NY-ESO-1 Expressing Melanoma,Terminated,Has Results,Biological: Anti-NY ESO-1 T cell receptor (TCR) cluster of differentiation 62L (CD62L)+ cells|Drug: Aldesleukin|Drug: Cyclophosphamide|Drug: Fludarabine,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02062359
NCT00945269,"Therapeutic Autologous Lymphocytes, Aldesleukin, and Denileukin Diftitox in Treating Patients With Stage III-IV Melanoma",Terminated,No Results Available,Biological: therapeutic autologous lymphocytes|Biological: aldesleukin|Biological: denileukin diftitox|Procedure: biopsy|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Genetic: polymerase chain reaction,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00945269
NCT01425008,Study of MLN2480 in Patients With Relapsed or Refractory Solid Tumors Followed by a Dose Expansion in Patients With Metastatic Melanoma,Completed,No Results Available,Drug: MLN2480,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01425008
NCT00671918,Trial of Lymphoseek in Intraoperative Localization of Lymph Nodes in Breast Cancer and Melanoma,Completed,Has Results,Drug: Lymphoseek,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00671918
NCT02145910,Vemurafenib Combined With Whole Brain Radiation Therapy or Radiosurgery in Patients With BRAF Mutation-Positive Melanoma and Brain Metastases,Withdrawn,No Results Available,Drug: Vemurafenib|Radiation: Whole-brain radiation therapy (WBRT)|Radiation: Radiosurgery (SRS),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02145910
NCT03235245,Immunotherapy With Ipilimumab and Nivolumab Preceded or Not by a Targeted Therapy With Encorafenib and Binimetinib,Recruiting,No Results Available,Drug: Nivolumab + Ipilimumab|Drug: Encorafenib + Binimetinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03235245
NCT00833807,Hepatic Arterial Infusion of Nab-Paclitaxel in Patients With Metastatic Melanoma in the Liver,Completed,No Results Available,Drug: Nab-Paclitaxel (Abraxane),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00833807
NCT03408587,CAVATAK® and Ipilimumab in Uveal Melanoma Metastatic to the Liver (VLA-024 CLEVER),"Active, not recruiting",No Results Available,Biological: CVA21|Biological: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03408587
NCT00391300,Bioelectric Field Imaging in Diagnosing Melanoma and Other Skin Cancers in Patients With Skin Lesions,Unknown status,No Results Available,Procedure: bioelectric field imaging|Procedure: biopsy|Procedure: histopathologic examination,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00391300
NCT01236573,Cell Therapy for Metastatic Melanoma Using CD8 Enriched Tumor Infiltrating Lymphocytes,Terminated,Has Results,Drug: Fludarabine|Drug: Cyclophosphamide|Biological: IL-12 transduced TIL,All,"18 Years to 66 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01236573
NCT00005610,Study of Aerosolized Sargramostim in Treating Patients With Melanoma Metastatic to the Lung,Completed,No Results Available,Biological: sargramostim,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00005610
NCT01369875,Modified Tumor Infiltrating Lymphocytes for Metastatic Melanoma,Completed,Has Results,Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Aldesleukin|Biological: Tumor Infiltrating Lymphocytes,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01369875
NCT01703507,Phase I Study of Ipilimumab Combined With Whole Brain Radiation Therapy or Radiosurgery for Melanoma,"Active, not recruiting",No Results Available,Drug: Ipilimumab|Radiation: Whole-Brain Radiation Therapy (WBRT)|Radiation: Stereotactic Radiosurgery (SRS),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01703507
NCT00496223,A Phase I/II Study of Sunitinib and Dacarbazine,Terminated,No Results Available,Drug: Sunitinib|Drug: Dacarbazine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00496223
NCT01369888,Use of IL-15 After Chemotherapy and Lymphocyte Transfer in Metastatic Melanoma,Terminated,Has Results,Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Tumor Infiltrating Lymphocytes|Drug: IL-15,All,"18 Years to 66 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01369888
NCT02442466,Proof of Concept Study With an Endothelin Receptor B Inhibitor (BQ-788) for Human Melanoma,Terminated,No Results Available,Drug: Endothelin Receptor B inhibitor BQ788|Drug: PBS,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02442466
NCT00062491,Study of Karenitecin (BNP1350) to Treat Malignant Melanoma,Completed,No Results Available,Drug: Karenitecin (BNP1350),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00062491
NCT00424515,Imatinib in Patients With Mucosal or Acral/Lentiginous Melanoma,Completed,Has Results,Drug: Imatinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00424515
NCT00017121,Inhaled Sargramostim in Treating Patients With Melanoma Metastatic to the Lung,Completed,No Results Available,Biological: sargramostim,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00017121
NCT01785316,The Scandinavian Randomized Controlled Trial of Isolated Hepatic Perfusion for Uveal Melanoma Liver Metastases,Recruiting,No Results Available,Procedure: IHP,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01785316
NCT00057616,Study to Compare the Efficacy and Safety of CC-5013 vs. Placebo in Subjects With Metastatic Malignant Melanoma.,Completed,No Results Available,Drug: CC-5013,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00057616
NCT00386906,Sentinel Lymph Node (SLN) Biopsy for Conjunctival/Eyelid Melanoma,"Active, not recruiting",No Results Available,Procedure: Sentinel Lymph Node Mapping and Biopsy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00386906
NCT02382549,A Clinical Trial to Evaluate a Melanoma Helper Peptide Vaccine Plus Dabrafenib and Trametinib,Recruiting,No Results Available,Drug: dabrafenib|Biological: 6MHP|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02382549
NCT01149343,Evaluation of a New Vaccine Treatment for Patients With Metastatic Skin Cancer,Completed,Has Results,"Biological: Immunotherapeutic GSK2302025A, different formulations",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01149343
NCT01021059,A Phase I Study of Intravenous Recombinant Human IL-15 in Adults With Refractory Metastatic Malignant Melanoma and Metastatic Renal Cell Cancer,Completed,No Results Available,Biological: rh IL-15,All,"18 Years to 85 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01021059
NCT00068666,Temozolomide and Radiation Therapy in Treating Patients With Stage IV Malignant Melanoma With Measurable and Unresectable Cancer of the Central Nervous System,Terminated,No Results Available,Drug: temozolomide|Radiation: radiation therapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00068666
NCT00527657,"Temozolomide, Thalidomide, and Lomustine (TTL) in Melanoma Patients",Completed,No Results Available,Drug: Lomustine|Drug: Temozolomide|Drug: Thalidomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00527657
NCT01960829,Everolimus in Selected Patients With Metastatic Melanoma: Efficacy and Safety Study,Unknown status,No Results Available,Drug: Everolimus,All,"18 Years to 80 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01960829
NCT02509598,"A Study of Lymphoseek® as a Lymphoid Tissue Targeting Agent in Pediatric Patients With Melanoma, Rhabdomyosarcoma, or Other Solid Tumors Who Are Undergoing Lymph Node Mapping",Recruiting,No Results Available,Drug: Tc99m tilmanocept|Drug: Vital Blue Dye (optional),All,up to 17 Years   (Child),https://ClinicalTrials.gov/show/NCT02509598
NCT00110994,Treatment for Subjects With Unresectable Stage III or Stage IV Melanoma,Completed,Has Results,"Drug: Sorafenib (Nexavar, BAY43-9006)|Drug: Placebo|Drug: Dacarbazine",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00110994
NCT00509288,Phase II Study of Metastatic Melanoma With Lymphodepleting Conditioning and Infusion of Anti-MART-1 F5 TCR-Gene-Engineered Lymphocytes,Completed,Has Results,Biological: autologous anti-MART-1 F5 T-cell receptor|Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Aldesleukin|Biological: autologous anti-MART-1 F5 T-cell receptor gene-engineered tumor infiltrating lymphocytes,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00509288
NCT02452294,Buparlisib in Melanoma Patients Suffering From Brain Metastases (BUMPER),Recruiting,No Results Available,Drug: Buparlisib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02452294
NCT01338389,Influence of Oral Treatment With Citicoline for the Prevention of Radiation Optic Neuropathy in Patients Treated for Uveal Melanomas With Proton Beam Therapy,"Active, not recruiting",No Results Available,Dietary Supplement: CITICOLINE|Dietary Supplement: PLACEBO,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01338389
NCT00470379,"Vaccine Therapy and Resiquimod in Treating Patients With Stage II, Stage III, or Stage IV Melanoma That Has Been Completely Removed by Surgery",Completed,No Results Available,Drug: resiquimod,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00470379
NCT02553642,Relationship Between Tumor Mutation Burden and Predicted Neo-antigen Burden in Patients With Advanced Melanoma or Bladder Cancer Treated With Nivolumab or Nivolumab Plus Ipilimumab (CA209-260),Recruiting,No Results Available,Drug: Nivolumab|Drug: Nivolumab plus Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02553642
NCT03332589,E6201 for the Treatment of Metastatic Melanoma Central Nervous System Metastases (CNS),Recruiting,No Results Available,Drug: E6201,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03332589
NCT00055562,Study to Compare the Efficacy and Safety of Two CC-5013 Dose Regimens in Subjects With Metastatic Malignant Melanoma,Completed,No Results Available,Drug: CC 5013,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00055562
NCT01603212,"Systemic Therapy With Interferon, Interleukin-2 and BRAF Inhibitor",Completed,No Results Available,Drug: Vemurafenib|Drug: IL-2|Drug: Interferon Alpha-2b,All,"18 Years to 65 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01603212
NCT01585415,Vemurafenib and White Blood Cell Therapy for Advanced Melanoma,Terminated,No Results Available,Drug: Vemurafenib|Biological: Young TIL|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Aldesleukin,All,"18 Years to 66 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01585415
NCT03086174,Tolerability and Pharmacokinetics of JS001 in Combination With Axitinib in Patients With Kidney Cancer and Melanoma,Recruiting,No Results Available,Biological: humanized anti-PD-1 monoclonal antibody,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03086174
NCT01826448,"A Phase 1b Open Label, Dose Escalation Study of PLX3397 in Combination With Vemurafenib in V600-mutated BRAF Melanoma",Terminated,No Results Available,Drug: PLX3397|Drug: vemurafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01826448
NCT00020839,Temozolomide With or Without Radiation Therapy to the Brain in Treating Patients With Stage IV Melanoma That Is Metastatic to the Brain,Terminated,No Results Available,Drug: temozolomide|Radiation: radiation therapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00020839
NCT03514901,To Evaluate the Efficacy Beyond Progression of Vemurafenib+Cobimetinib Associated With Local Treatment Compared to Second-line Treatment in Patients With BRAFV600+ Metastatic Melanoma in Focal Progression With First-line+Vemurafenib+Cobimetinib.,Not yet recruiting,No Results Available,Other: Experimental combination beyond Focal Progression|Drug: Pembrolizumab or Nivolumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03514901
NCT02314143,Phase II Biomarker Study Comparing the Combination of BRAF Inhibitor Dabrafenib With MEK Inhibitor Trametinib Versus the Combination After Monotherapy With Dabrafenib or Trametinib,Completed,No Results Available,Drug: Dabrafenib|Drug: Trametinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02314143
NCT00509496,Phase II Study of Metastatic Melanoma With Lymphodepleting Conditioning and Anti-gp100:154-162 TCR Gene Engineered Lymphocytes,Terminated,Has Results,Drug: fludarabine phosphate|Drug: cyclophosphamide|Biological: aldesleukin|Biological: autologous anti-gp 100:154-162 T-cell receptor gene-engineered tumor infiltrating lymphocytes|Biological: autologous anti-gp 100:154-162 T-cell receptor gene-engineered peripheral blood lymphocytes,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00509496
NCT03808441,CAcTUS - Circulating Tumour DNA Guided Switch,Not yet recruiting,No Results Available,Other: ctDNA analysis,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03808441
NCT02306512,Mohs and Immunofluorescence for Malignant Melanoma In Situ,Withdrawn,No Results Available,Procedure: H&E|Procedure: IHC MART-1|Procedure: IF MART-1|Procedure: IF cocktail,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02306512
NCT01136967,"An Open-Label, 2-Cohort, Multicenter, Study of Lenvatinib in Previously Treated Subjects With Unresectable Stage III or Stage IV Melanoma",Completed,Has Results,Drug: Lenvatinib,All,"18 Years to 99 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01136967
NCT02027935,Cellular Adoptive Immunotherapy Using Autologous CD8+ Antigen-Specific T Cells and Anti-CTLA4,"Active, not recruiting",No Results Available,Drug: Cyclophosphamide|Procedure: CD8+ T Cells|Drug: Interleukin-2|Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02027935
NCT00387751,Bevacizumab and Sorafenib in Treating Patients With Unresectable Stage III or Stage IV Malignant Melanoma,Completed,Has Results,Biological: Bevacizumab|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Sorafenib Tosylate,All,"18 Years to 120 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00387751
NCT00087386,Tanespimycin in Treating Patients With Stage III-IV Melanoma,Terminated,No Results Available,Drug: tanespimycin|Other: laboratory biomarker analysis,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00087386
NCT00601861,Effect of rIL-21 on Metastases in Lymph Nodes in Melanoma Skin Cancer,Terminated,No Results Available,Drug: recombinant interleukin-21,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00601861
NCT03538314,Phase I of UV1 Vaccine With Pembrolizumab,Recruiting,No Results Available,Drug: UV1/GM-CSF,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03538314
NCT00668512,Intratumoral Injection Of Alpha-Gal Glycosphingolipids,Completed,No Results Available,Biological: Antimelanoma injection of GSL alpha-Gal,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00668512
NCT03165409,Cost of Adverse Events Related to How Often Follow-Up Occurs Among Patients With Cancer That Has Spread,Completed,No Results Available,Biological: Nivolumab|Biological: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03165409
NCT02974725,A Phase Ib Study of LXH254-centric Combinations in NSCLC or Melanoma,Recruiting,No Results Available,Drug: LXH254|Drug: LTT462|Drug: Trametinib|Drug: Ribociclib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02974725
NCT00287196,Immediate Radiotherapy or Observation After Surgery for Melanoma Involving Lymph Nodes,Completed,No Results Available,Radiation: Radiotherapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00287196
NCT00116363,Safety and Efficacy Study of INGN 241 Gene Therapy in Patients With In Transit Melanoma,Unknown status,No Results Available,Genetic: investigational drug INGN 241,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00116363
NCT00039234,Interleukin-2 With or Without Histamine Dihydrochloride in Treating Patients With Stage IV Melanoma Metastatic to the Liver,Unknown status,No Results Available,Biological: aldesleukin|Drug: histamine dihydrochloride,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00039234
NCT01319565,Prospective Randomized Study of Cell Therapy for Metastatic Melanoma Using Short-Term Cultured Tumor Infiltrating Lymphocytes Plus IL-2 Following Either a Non-Myeloablative Lymphocyte Depleting Chemotherapy Regimen Alone or in Conjunction w/1200 TBI,"Active, not recruiting",No Results Available,Drug: Aldesleukin|Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Young Tumor Infiltrating Lymphocytes|Radiation: Total Body Irradiation (TBI),All,"18 Years to 66 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01319565
NCT00336986,Efficacy Study of IL-21 to Treat Metastatic Melanoma,Completed,No Results Available,Drug: recombinant interleukin-21,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00336986
NCT02879474,Study of Risk Factors and Clinical Characterization of Rapidly Growing Melanoma,Unknown status,No Results Available,Behavioral: Melanoma scale questionnair,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02879474
NCT00610311,Anti-gp100 Cells Plus ALVAC gp100 Vaccine to Treat Advanced Melanoma,Terminated,Has Results,Drug: cyclophosphamide|Drug: fludarabine phosphate|Biological: Aldesleukin|Biological: ALVAC gp100 Vaccine|Biological: anti-gp100:154-162 Tcell receptor (TCR) peripheral blood lymphocyte (PBL),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00610311
NCT00135408,A Study of MDX-010 (BMS-734016) Administered With or Without Prophylactic Oral Budesonide,Completed,No Results Available,Drug: Ipilimumab+ Placebo|Drug: Ipilimumab+ Budesonide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00135408
NCT00612222,Anti-MART-1 F5 Cells Plus ALVAC MART-1 Vaccine to Treat Advanced Melanoma,Terminated,Has Results,Biological: autologous anti-MART-1 F5 T-cell receptor gene-engineered peripheral blood lymphocytes|Biological: ALVAC MART-1 Vaccine|Biological: aldesleukin|Drug: cyclophosphamide|Drug: fludarabine phosphate,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00612222
NCT00978913,Transfected Dendritic Cell Based Therapy for Patients With Breast Cancer or Malignant Melanoma,Completed,No Results Available,Biological: DC vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00978913
NCT00804908,A Study Evaluating Efficacy of ABT-888 in Combination With Temozolomide in Metastatic Melanoma,Completed,Has Results,Drug: temozolomide|Drug: ABT-888|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00804908
NCT00794235,Monocentric Pilot Study Investigating the Metabolic Activity of Melanoma in Vivo During Sorafenib and Dacarbazine,Completed,No Results Available,"Drug: Sorafenib (Nexavar), Dacarbazine (DTIC)",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00794235
NCT01455259,Phase I/IIa AdCD40L Immunogene Therapy for Malignant Melanoma and Other Solid Tumors,Completed,No Results Available,Biological: AdCD40L,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01455259
NCT02379000,TTT Versus TTT and Triamcinolone to Decrease Exudation in Choroidal Melanoma After Proton Beam Therapy,"Active, not recruiting",No Results Available,Drug: Triamcinolone Acetonide|Procedure: Transpupillary thermotherapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02379000
NCT01851408,"Sorafenib and Temsirolimus in Treating Patients With Metastatic, Recurrent, or Unresectable Melanoma",Withdrawn,No Results Available,Drug: sorafenib tosylate|Drug: temsirolimus,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01851408
NCT00747825,Phase I Safety and Dosimetry Study in Patients With Confirmed Metastatic Melanoma,Terminated,No Results Available,Drug: 131-I-MIP-1145,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00747825
NCT00750399,Effect of Intravitreal Ranibizumab on Radiation Retinopathy Following Plaque Brachytherapy for Choroidal Melanoma,Completed,No Results Available,Drug: Ranibizumab|Drug: ranibizumab,All,"21 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00750399
NCT00979693,Psilocybin-Assisted Psychotherapy for Anxiety in People With Stage IV Melanoma,Withdrawn,No Results Available,Drug: psilocybin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00979693
NCT00005615,Post-Operative Adjuvant Radiotherapy With Concurrent Interferon-Alfa,Completed,No Results Available,Biological: Interferon alfa|Radiation: Radiation therapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00005615
NCT01677975,"The Value of Preoperative Dynamic Lymphscintigraphy and Ultrasoundscanning, Eventually With FNA, for Identification of Malignant Sentinel Node(s) in Patients With Melanoma",Unknown status,No Results Available,Procedure: FNA (fine needle aspiration),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01677975
NCT01684241,RBL001/RBL002 Phase I Clinical Trial,Completed,No Results Available,Biological: RBL001/RBL002,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01684241
NCT01266603,"High-Dose Interleukin-2 (HDIL-2), Combined With recMAGE-A3 + AS15 ASCI",Completed,No Results Available,Drug: HDIL-2|Biological: recMAGE-A3 + AS15,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01266603
NCT00665470,Chemotherapy Followed by gp100 Lymphocytes and Aldesleukin to Treat Melanoma,Completed,Has Results,Drug: Aldesleukin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00665470
NCT01666418,Pilot Study Investigating the Metabolic Activity and Transcriptional Profiling in Vivo in Tumor Biopsies in Melanoma Patients During Treatment With Pazopanib Alone and in Combination With Paclitaxel,Completed,No Results Available,Drug: Pazopanib/Paclitaxel,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01666418
NCT00885534,"Genetic Variates of Response to Cisplatin, Vinblastine, and Temozolomide (CVT) in Patients With Metastatic Melanoma",Completed,Has Results,"Drug: Cisplatin, Vinblastine, Temozolomide",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00885534
NCT00948480,Vaccine Biotherapy of Cancer: Autologous Tumor Cells and Dendritic Cells,Completed,No Results Available,Biological: Autologous tumor cells plus dendritic cells|Drug: GM-CSF,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00948480
NCT02736123,Neoadjuvant Combination Biotherapy With Ipilimumab and Nivolumab or Nivolumab Alone,Withdrawn,No Results Available,Drug: Nivolumab - Arm A|Drug: Nivolumab + Ipilimumab - Arm B,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02736123
NCT01168050,Efficacy of Nilotinib in First or Second Line Treatment of Primary Melanomas Stage III Unresectable Melanomas.,Unknown status,No Results Available,Drug: Nilotinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01168050
NCT02115139,GEM STUDY: Radiation And Yervoy in Patients With Melanoma and Brain Metastases,Completed,No Results Available,Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02115139
NCT02058953,"CNS and Extracranial Tumor Tissues, CSF, and Blood From Patients With Melanoma Brain Metastases",Recruiting,No Results Available,Procedure: Craniotomy scheduled|Procedure: Collection for non-craniotomy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02058953
NCT01409733,TACE With Drug Eluting Beads Loaded With Doxorubicin in Liver Metastases From Melanoma Patients,Unknown status,No Results Available,Device: TACE using Drug Eluting Beads loaded with Doxorubicin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01409733
NCT00338130,Randomised Study to Compare the Efficacy of AZD6244 vs TMZ,Completed,No Results Available,Drug: AZD6244|Drug: Temozolomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00338130
NCT00232726,Clinical Study of Previously Untreated Patients With Malignant Melanoma,Completed,No Results Available,Drug: CP-4055 (ELACYT),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00232726
NCT01587352,Vorinostat in Treating Patients With Metastatic Melanoma of the Eye,Terminated,No Results Available,Other: Laboratory Biomarker Analysis|Drug: Vorinostat,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01587352
NCT01183936,Trial of Surgical Excision Margins in Thick Primary Melanoma,Completed,No Results Available,Procedure: 2-cm margin|Procedure: 4-cm margin,All,"up to 75 Years   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01183936
NCT02035956,IVAC MUTANOME Phase I Clinical Trial,"Active, not recruiting",No Results Available,"Biological: IVAC MUTANOME, RBL001/RBL002",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02035956
NCT03111901,Low-dose Interleukin-2 and Pembrolizumab in Melanoma and Renal Cell Cancer,Recruiting,No Results Available,Drug: Pembrolizumab|Drug: Interleukin-2,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03111901
NCT01205815,Storage and Research Use of Human Bio-specimens From Melanoma Patients and Clinical Testing for Assignment of Treatment,Recruiting,No Results Available,Other: Tissue and blood collection,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01205815
NCT02061007,Biomarker Correlates of Hypoxia in Metastatic Melanoma,Withdrawn,No Results Available,Drug: Pimonidazole hydrochloride (Hypoxyprobe™-1)|Drug: Optional 18F-FMISO PET scan (18F-fluoromisonidazole)|Procedure: Surgical Resection of Melanoma Metastases,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02061007
NCT02574260,An Extension Protocol for the Extended Use of Talimogene Laherparepvec for Eligible Patients Who Participated in Study 002/03 (NCT00289016),Completed,Has Results,Biological: Talimogene Laherparepvec,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02574260
