# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.,,,,,,,,
#   Copyright 2012-2019 MDI Biological Laboratory & NC State University. All rights reserved.,,,,,,,,
#  ,,,,,,,,
# ,,,,,,,,
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp,,,,,,,,
# These terms include:,,,,,,,,
# ,,,,,,,,
#   1. All forms of publication (e.g., web sites, research papers, databases,,,,,
#      software applications, etc.) that use or rely on CTD data must cite CTD.,,,,,,,
#      Citation guidelines: http://ctdbase.org/about/publications/#citing,,,,,,,,
# ,,,,,,,,
#   2. All electronic or online applications must include hyperlinks from ,,,,,,,,
#      contexts that use CTD data to the applicable CTD data pages.,,,,,,,,
#      Linking instructions: http://ctdbase.org/help/linking.jsp,,,,,,,,
# ,,,,,,,,
#   3. You must notify CTD, and describe your use of our data:,,,,,,,
#      http://ctdbase.org/help/contact.go,,,,,,,,
# ,,,,,,,,
#   4. For quality control purposes, you must provide CTD with periodic ,,,,,,,
#      access to your publication of our data.,,,,,,,,
# ,,,,,,,,
# More information: http://ctdbase.org/downloads/,,,,,,,,
# ,,,,,,,,
# Report created: Tue Feb 05 15:10:21 EST 2019,,,,,,,,
#,,,,,,,,
# Fields:,,,,,,,,
# DiseaseName,DiseaseID,AltDiseaseIDs,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,Synonyms,SlimMappings
#,,,,,,,,
Abidi X-linked mental retardation syndrome,MESH:C535556,DO:DOID:0060818|OMIM:300262,,MESH:D019465|MESH:D034381|MESH:D038901,C05.660.207/C535556|C09.218.458.341/C535556|C10.597.606.360.455/C535556|C10.597.751.418.341/C535556|C16.131.621.207/C535556|C16.320.322.500/C535556|C16.320.400.525/C535556|C23.888.592.763.393.341/C535556,C05.660.207|C09.218.458.341|C10.597.606.360.455|C10.597.751.418.341|C16.131.621.207|C16.320.322.500|C16.320.400.525|C23.888.592.763.393.341,"Mental retardation X-linked, Abidi type|Mental Retardation, X-Linked, Abidi Type|MENTAL RETARDATION, X-LINKED, SYNDROMIC, ABIDI TYPE|MRXSAB|Short stature, small head circumference, sloping forehead, hearing loss, cupped ears and small testes",Congenital abnormality|Ear-nose-throat disease|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease|Signs and symptoms
Ablepharon macrostomia syndrome,MESH:C535557,DO:DOID:0060550|OMIM:200110,,MESH:D000015|MESH:D005124|MESH:D008265,C07.465.525.480/C535557|C07.650.525.480/C535557|C11.250/C535557|C16.131.077/C535557|C16.131.384/C535557|C16.131.850.525.480/C535557,C07.465.525.480|C07.650.525.480|C11.250|C16.131.077|C16.131.384|C16.131.850.525.480,Ablepharon-Macrostomia Syndrome|AMS,Congenital abnormality|Eye disease|Mouth disease
Abnormal fusion of dental cementum with alveolar bone,MESH:C536375,,,MESH:D020254,C07.793.710/C536375,C07.793.710,Molar I reinclusion|Secondary retention of permanent molars,Mouth disease
"Abnormalities, Drug-Induced",MESH:D000014,,"Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.",MESH:D000013,C16.131.042,C16.131,"Abnormalities, Drug Induced|Abnormality, Drug-Induced|Drug Induced Abnormalities|Drug-Induced Abnormalities|Drug-Induced Abnormality",Congenital abnormality
"Abnormalities, Multiple",MESH:D000015,,Congenital abnormalities that affect more than one organ or body structure.,MESH:D000013,C16.131.077,C16.131,Multiple Abnormalities,Congenital abnormality
"Abnormalities, Radiation-Induced",MESH:D000016,,Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.,MESH:D000013|MESH:D011832,C16.131.080|C26.733.031,C16.131|C26.733,"Abnormalities, Radiation Induced|Abnormality, Radiation-Induced|Radiation Induced Abnormalities|Radiation-Induced Abnormalities|Radiation-Induced Abnormality",Congenital abnormality|Wounds and injuries
"Abnormalities, Severe Teratoid",MESH:D009008,,Marked developmental anomalies of a fetus or infant.,MESH:D000013,C16.131.085,C16.131,"Abnormality, Severe Teratoid|Severe Teratoid Abnormalities|Severe Teratoid Abnormality|Teratoid Abnormalities, Severe|Teratoid Abnormality, Severe",Congenital abnormality
Abnormal Karyotype,MESH:D059786,,A variation from the normal set of chromosomes characteristic of a species.,MESH:D002869,C23.550.210.024,C23.550.210,"Abnormal Karyotypes|Karyotype, Abnormal|Karyotypes, Abnormal",Pathology (process)
"Abortion, Habitual",MESH:D000026,,Three or more consecutive spontaneous abortions.,MESH:D000022,C13.703.039.089,C13.703.039,"Abortion, Recurrent|Habitual Abortion|Habitual Abortions|Miscarriage, Recurrent|Recurrent Abortion|Recurrent Abortions|Recurrent Early Pregnancy Loss|Recurrent Miscarriage|Recurrent Miscarriages",Pregnancy complication
"Abortion, Incomplete",MESH:D000027,,Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.,MESH:D000022,C13.703.039.093,C13.703.039,"Abortions, Incomplete|Incomplete Abortion|Incomplete Abortions",Pregnancy complication
"Abortion, Missed",MESH:D000030,,The retention in the UTERUS of a dead FETUS two months or more after its DEATH.,MESH:D000022,C13.703.039.173,C13.703.039,"Abortions, Missed|Missed Abortion|Missed Abortions",Pregnancy complication
"Abortion, Septic",MESH:D000031,,"Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.",MESH:D000022|MESH:D011251,C01.539.674.173|C13.703.039.256|C13.703.700.173,C01.539.674|C13.703.039|C13.703.700,"Abortions, Septic|Septic Abortion|Septic Abortions",Bacterial infection or mycosis|Pregnancy complication
"Abortion, Spontaneous",MESH:D000022,,Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.,MESH:D011248,C13.703.039,C13.703,"Abortions, Spontaneous|Abortions, Tubal|Abortion, Tubal|Early Pregnancy Loss|Early Pregnancy Losses|Loss, Early Pregnancy|Losses, Early Pregnancy|Miscarriage|Miscarriages|Pregnancy Loss, Early|Pregnancy Losses, Early|Spontaneous Abortion|Spontaneous Abortions|Tubal Abortion|Tubal Abortions",Pregnancy complication
"Abortion, Threatened",MESH:D000033,DO:DOID:9667,"UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE.",MESH:D011248,C13.703.090,C13.703,"Miscarriage, Threatened|Threatened Abortion|Threatened Abortions|Threatened Miscarriage|Threatened Miscarriages",Pregnancy complication
"Abortion, Veterinary",MESH:D000034,,Premature expulsion of the FETUS in animals.,MESH:D000022|MESH:D000820,C13.703.039.422|C22.021,C13.703.039|C22,"Abortions, Veterinary|Veterinary Abortion|Veterinary Abortions",Animal disease|Pregnancy complication
Abrikosov's tumor,MESH:C535558,,,MESH:D006106,C04.557.475.750.656/C535558|C04.588.322.455.398/C535558|C13.351.500.056.630.705.398/C535558|C13.351.937.418.685.398/C535558|C19.344.410.398/C535558|C19.391.630.705.398/C535558,C04.557.475.750.656|C04.588.322.455.398|C13.351.500.056.630.705.398|C13.351.937.418.685.398|C19.344.410.398|C19.391.630.705.398,Abrikosoff's granulous cell tumor|Abrikosoff's tumor|Giant granulo-cellular Abrikosov's tumor|Malignant variant of Abrikosov's tumor,Cancer|Endocrine system disease|Urogenital disease (female)
